KombinationsID,Position,Strategie,Gewinne,Zuge,Hat_Gekickt,Wurde_Gekickt,Token_in_Winspot_gesetzt
61,Player 4,strategies.MixedStrategy,24,325,681,303,245
62,Player 1,strategies.DefensiveStrategy,18,238,81,187,263
62,Player 2,strategies.MixedStrategy,13,238,472,122,193
62,Player 3,strategies.RandomStrategy,0,238,148,329,11
62,Player 4,strategies.MoveFirstStrategy,73,238,125,188,364
63,Player 1,strategies.DefensiveStrategy,31,259,141,215,291
63,Player 2,strategies.MixedStrategy,13,259,562,128,235
63,Player 3,strategies.RandomStrategy,0,259,168,368,12
63,Player 4,strategies.MoveLastStrategy,57,259,95,255,324
64,Player 1,strategies.DefensiveStrategy,62,326,135,261,342
64,Player 2,strategies.MixedStrategy,39,326,789,147,290
64,Player 3,strategies.RandomStrategy,0,326,167,475,19
64,Player 4,strategies.RandomStrategy,0,326,210,418,20
65,Player 1,strategies.DefensiveStrategy,76,659,420,1973,358
65,Player 2,strategies.MixedStrategy,24,659,1211,1661,223
65,Player 3,strategies.RandomStrategy,0,659,646,2440,7
65,Player 4,strategies.AggressiveStrategy,0,659,4818,1021,10
66,Player 1,strategies.DefensiveStrategy,44,492,300,1257,295
66,Player 2,strategies.MixedStrategy,8,492,886,1307,163
66,Player 3,strategies.AggressiveStrategy,0,492,3347,931,12
66,Player 4,strategies.DefensiveStrategy,48,492,375,1413,304
67,Player 1,strategies.DefensiveStrategy,62,569,333,1517,342
67,Player 2,strategies.MixedStrategy,20,569,960,1495,199
67,Player 3,strategies.AggressiveStrategy,0,569,3583,1139,21
67,Player 4,strategies.MixedStrategy,19,569,899,1624,204
68,Player 1,strategies.DefensiveStrategy,28,424,229,1079,268
68,Player 2,strategies.MixedStrategy,6,424,772,1130,142
68,Player 3,strategies.AggressiveStrategy,0,424,2846,737,6
68,Player 4,strategies.MoveFirstStrategy,66,424,338,1239,343
69,Player 1,strategies.DefensiveStrategy,50,465,303,1150,312
69,Player 2,strategies.MixedStrategy,12,465,894,1279,159
69,Player 3,strategies.AggressiveStrategy,0,465,3071,786,3
